	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6	cell_7	cell_8	cell_9	cell_10	cell_11	cell_12	cell_13	cell_14	cell_15	cell_16	cell_17	cell_18	cell_19	cell_20
UBE2J2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6321388483047485	0.0	0.0	1.4471484422683716	0.55525803565979	0.0	0.0	0.0	0.7407816052436829	0.0	1.0070887804031372	0.0	0.0
SCNN1D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PUSL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2256704568862915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPTP	0.7123874425888062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3156827986240387	0.0	0.0	0.0	0.0	0.0	1.0070887804031372	0.0	0.0
TAS1R3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9459657669067383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DVL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MXRA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AURKAIP1	0.0	0.0	0.0	1.1398509740829468	0.0	0.0	0.0	2.423652172088623	1.4232525825500488	0.7899220585823059	1.4471484422683716	0.9101845026016235	0.0	0.7996399402618408	0.0	0.0	0.0	1.0070887804031372	1.4546103477478027	0.0
CCNL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7038152813911438	0.0	0.0	0.7407816052436829	1.9687095880508423	0.0	0.4364053010940552	0.0
MRPL20	0.0	2.1876816749572754	1.122923731803894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3786557912826538	1.4022542238235474	0.47770506143569946	0.0	0.7407816052436829	1.1163899898529053	1.0070887804031372	0.0	0.0
ATAD3C	0.7123874425888062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
